Cycle #0	Energy		Temperature	Acceptance Ratio
		-3714.37	Initial structure!
		-3714.41	2111.25		0.971
		-3714.42	2100.69		0.971
		-3714.47	2090.19		0.971
		-3714.47	2079.74		0.972
		-3714.48	2069.34		0.972
		-3714.45	2059.00		0.972
		-3714.41	2048.70		0.966
		-3714.45	2038.46		0.967
		-3714.41	2028.26		0.967
		-3714.46	2018.12		0.967
		-3714.49	2008.03		0.967
		-3714.48	1997.99		0.967
		-3714.52	1988.00		0.968
		-3714.46	1978.06		0.968
		-3714.45	1968.17		0.968
		-3714.40	1958.33		0.963
		-3714.45	1948.54		0.963
		-3714.51	1938.80		0.963
		-3714.50	1929.10		0.963
		-3714.46	1919.46		0.964
		-3714.48	1909.86		0.964
		-3714.47	1900.31		0.964
		-3714.42	1890.81		0.964
		-3714.40	1881.35		0.964
		-3714.45	1871.95		0.964
		-3714.40	1862.59		0.960
		-3714.46	1853.28		0.960
		-3714.43	1844.01		0.955
		-3714.49	1834.79		0.955
		-3714.50	1825.62		0.955
		-3714.49	1816.49		0.956
		-3714.50	1807.40		0.956
		-3714.51	1798.37		0.956
		-3714.51	1789.38		0.956
		-3714.50	1780.43		0.957
		-3714.51	1771.53		0.957
		-3714.52	1762.67		0.957
		-3714.48	1753.86		0.957
		-3714.44	1745.09		0.957
		-3714.45	1736.36		0.958
		-3714.43	1727.68		0.958
		-3714.46	1719.04		0.958
		-3714.49	1710.45		0.958
		-3714.45	1701.89		0.954
		-3714.48	1693.38		0.954
		-3714.47	1684.92		0.954
		-3714.49	1676.49		0.954
		-3714.47	1668.11		0.955
		-3714.50	1659.77		0.955
		-3714.56	1651.47		0.955
		-3714.54	1643.21		0.955
		-3714.56	1635.00		0.955
		-3714.59	1626.82		0.956
		-3714.54	1618.69		0.956
		-3714.53	1610.59		0.952
		-3714.57	1602.54		0.952
		-3714.57	1594.53		0.952
		-3714.58	1586.56		0.952
		-3714.56	1578.62		0.952
		-3714.58	1570.73		0.953
		-3714.58	1562.88		0.953
		-3714.61	1555.06		0.953
		-3714.61	1547.29		0.953
		-3714.62	1539.55		0.953
		-3714.57	1531.85		0.954
		-3714.55	1524.19		0.954
		-3714.54	1516.57		0.954
		-3714.55	1508.99		0.954
		-3714.53	1501.44		0.954
		-3714.58	1493.94		0.955
		-3714.56	1486.47		0.951
		-3714.57	1479.04		0.951
		-3714.57	1471.64		0.951
		-3714.52	1464.28		0.947
		-3714.55	1456.96		0.947
		-3714.53	1449.68		0.948
		-3714.57	1442.43		0.948
		-3714.53	1435.22		0.948
		-3714.51	1428.04		0.944
		-3714.53	1420.90		0.944
		-3714.59	1413.79		0.945
		-3714.62	1406.73		0.945
		-3714.64	1399.69		0.945
		-3714.57	1392.69		0.945
		-3714.54	1385.73		0.942
		-3714.54	1378.80		0.942
		-3714.54	1371.91		0.942
		-3714.57	1365.05		0.942
		-3714.60	1358.22		0.943
